school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;M;17;U;LE3;A;4;3;other;at_home;course;mother;3;4;2;no;no;yes;no;no;no;no;no;3;4;5;4;4;1;51;13;10;9
MS;M;15;U;LE3;A;2;2;teacher;services;other;father;3;2;1;no;no;yes;yes;yes;yes;no;no;5;4;1;4;4;2;35;13;13;12
MS;M;20;R;GT3;T;3;1;teacher;services;other;mother;2;3;0;yes;no;yes;no;no;no;yes;yes;1;3;3;4;2;2;41;7;6;10
MS;M;15;U;LE3;A;3;3;at_home;teacher;home;other;3;1;0;yes;no;no;no;no;yes;yes;yes;5;1;5;2;5;1;73;12;16;12
MS;M;22;R;LE3;A;0;1;other;services;other;other;4;1;0;no;yes;no;yes;yes;yes;no;no;2;3;2;5;3;5;58;8;10;4
GP;F;17;U;GT3;T;0;0;other;other;home;mother;3;1;0;no;yes;yes;yes;no;yes;no;no;2;2;3;1;2;4;15;10;9;12
GP;M;15;R;GT3;A;1;1;at_home;other;home;mother;2;1;0;yes;yes;no;no;no;no;yes;yes;1;5;3;4;3;5;14;10;9;12
GP;M;20;R;LE3;A;2;1;teacher;at_home;other;mother;3;3;0;yes;yes;yes;yes;yes;yes;no;yes;1;5;2;3;3;5;53;9;13;13
GP;F;20;U;LE3;T;3;1;services;at_home;course;father;3;1;1;no;yes;no;yes;yes;no;yes;no;5;5;2;2;1;1;44;10;10;8
MS;M;21;R;LE3;T;2;3;at_home;services;reputation;father;3;1;0;yes;yes;yes;yes;yes;yes;yes;yes;4;3;5;1;2;2;32;13;10;16
MS;F;20;R;GT3;T;4;0;at_home;teacher;reputation;mother;1;2;0;yes;yes;no;no;yes;no;no;no;2;5;4;4;2;4;33;8;8;12
MS;M;17;R;GT3;A;4;3;teacher;services;course;mother;3;4;0;yes;yes;yes;no;yes;yes;no;yes;3;3;4;4;5;1;64;14;14;11
GP;F;15;U;GT3;T;4;4;other;teacher;course;other;2;2;0;yes;yes;yes;yes;no;yes;no;yes;4;3;4;5;4;4;59;10;8;8
MS;F;16;U;GT3;T;1;3;health;health;other;mother;4;4;0;yes;no;yes;yes;no;yes;no;yes;5;2;2;4;2;3;41;11;12;13
MS;F;22;R;LE3;A;1;0;services;services;home;father;3;1;0;no;yes;no;no;yes;yes;yes;no;2;4;4;4;1;1;35;10;14;10
MS;M;19;R;LE3;T;0;3;health;other;other;mother;4;3;0;no;no;no;yes;yes;yes;yes;yes;2;3;5;5;4;4;5;9;9;6
GP;M;21;U;LE3;T;0;2;teacher;services;other;mother;4;3;0;no;no;yes;no;no;yes;no;no;3;2;2;5;5;3;51;7;11;12
GP;M;20;U;GT3;A;0;0;at_home;services;other;other;2;4;0;no;no;no;no;no;yes;yes;no;1;1;2;5;3;5;71;10;11;11
GP;F;16;U;GT3;A;1;2;other;services;other;mother;4;1;1;no;yes;no;yes;no;yes;yes;yes;3;1;4;2;2;2;28;5;4;4
GP;M;22;R;LE3;A;1;4;other;at_home;other;other;3;3;1;no;no;no;no;yes;no;no;yes;2;3;2;5;5;2;12;14;12;14
MS;F;18;R;LE3;A;2;4;teacher;at_home;other;father;4;1;2;yes;yes;no;yes;no;no;yes;yes;3;1;3;5;3;1;62;6;3;2
MS;M;19;R;LE3;A;1;4;other;services;home;other;1;3;0;yes;yes;no;yes;yes;yes;yes;yes;1;4;1;3;1;1;51;1;3;5
MS;F;20;U;LE3;A;2;1;at_home;services;other;mother;2;3;0;yes;no;yes;no;no;yes;no;yes;5;1;5;1;3;1;21;18;20;19
MS;F;20;U;LE3;T;4;3;health;other;reputation;father;1;2;0;yes;no;yes;yes;no;yes;yes;yes;3;3;1;3;2;5;66;11;11;11
MS;M;21;R;LE3;T;2;1;services;health;reputation;father;2;4;0;yes;no;yes;yes;no;no;yes;no;3;2;4;2;3;4;51;9;10;9
MS;M;19;R;GT3;T;4;0;health;teacher;course;other;2;3;0;yes;yes;no;no;yes;no;yes;no;5;5;2;5;3;1;27;18;18;14
GP;F;22;U;LE3;T;3;1;teacher;services;home;mother;3;2;3;yes;no;no;yes;yes;yes;yes;no;4;5;3;2;3;4;1;8;2;6
MS;M;15;R;LE3;A;1;1;teacher;teacher;home;mother;4;1;0;no;yes;no;no;no;no;no;no;1;1;4;2;1;5;63;12;13;10
GP;F;15;R;LE3;T;0;1;at_home;other;course;father;2;4;0;yes;yes;yes;no;yes;yes;yes;no;3;2;3;4;2;1;50;7;4;5
